Feature,KVI_Importance,DVI_Importance
EState_VSA11,0.0,0.0
EState_VSA2,0.0,0.0
EState_VSA3,0.0,0.0
EState_VSA4,0.0,0.0
EState_VSA5,0.0,0.0
EState_VSA6,0.0,0.0
EState_VSA7,0.00432057,0.0057580215
EState_VSA8,0.022114562,0.0015442366
EState_VSA9,0.0,0.0
VSA_EState1,0.0,0.0
VSA_EState10,0.0,0.0
VSA_EState2,0.005481406,0.0
VSA_EState3,0.005135145,0.024510643
VSA_EState4,0.0,0.0
VSA_EState5,0.0,0.0
VSA_EState6,0.0,0.0
VSA_EState7,0.0,0.0
VSA_EState8,0.0,0.0
VSA_EState9,0.0,0.0
FractionCSP3,0.0,0.0
HeavyAtomCount,0.0,0.0051917215
NHOHCount,0.0,0.0
NOCount,0.0,0.0
NumAliphaticCarbocycles,0.0,0.0
NumAliphaticHeterocycles,0.0,0.0
NumAliphaticRings,0.0,0.0
NumAromaticCarbocycles,0.028235724,0.027480556
NumAromaticHeterocycles,0.007948871,0.022018954
NumAromaticRings,0.0034097687,0.0
NumHAcceptors,0.0,0.0
NumHDonors,0.0,0.0
NumHeteroatoms,0.0,0.017266797
NumRotatableBonds,0.003425782,0.0
NumSaturatedCarbocycles,0.013904809,0.024898889
NumSaturatedHeterocycles,0.03068545,0.0041151913
NumSaturatedRings,0.0,0.007606613
RingCount,0.0135490205,0.03094046
MolLogP,0.0,0.0
MolMR,0.0,0.0
fr_Al_COO,0.0,0.0
fr_Al_OH,0.0,0.0
fr_Al_OH_noTert,0.0,0.0
fr_ArN,0.0,0.0
fr_Ar_COO,0.0,0.0
fr_Ar_N,0.0,0.0
fr_Ar_NH,0.0,0.0
fr_Ar_OH,0.0,0.0
fr_COO,0.0,0.0
fr_COO2,0.0,0.0
fr_C_O,0.0,0.0
fr_C_O_noCOO,0.0,0.0
fr_C_S,0.0,0.0
fr_HOCCN,0.0,0.0
fr_Imine,0.0,0.0
fr_NH0,0.0,0.0
fr_NH1,0.0,0.0
fr_NH2,0.0,0.0
fr_N_O,0.0,0.0
fr_Ndealkylation1,0.0,0.0
fr_Ndealkylation2,0.0,0.0
fr_Nhpyrrole,0.0,0.0
fr_SH,0.0,0.0
fr_aldehyde,0.0,0.0
fr_alkyl_carbamate,0.0,0.0
fr_alkyl_halide,0.0,0.00053042185
fr_allylic_oxid,0.0,0.0
fr_amide,0.0,0.0
fr_amidine,0.0,0.0
fr_aniline,0.0,0.0
fr_aryl_methyl,0.0,0.0
fr_azide,0.0,0.0
fr_azo,0.0,0.0
fr_barbitur,0.0,0.0
fr_benzene,0.0,0.0
fr_benzodiazepine,0.0,0.0
fr_bicyclic,0.0,0.0
fr_diazo,0.0,0.0
fr_dihydropyridine,0.0,0.0
fr_epoxide,0.0,0.0
fr_ester,0.0,0.0
fr_ether,0.0,0.0
fr_furan,0.0,0.0
fr_guanido,0.0,0.0
fr_halogen,0.0,0.0
fr_hdrzine,0.0,0.0
fr_hdrzone,0.0,0.0
fr_imidazole,0.0,0.0
fr_imide,0.0,0.0
fr_isocyan,0.0,0.0
fr_isothiocyan,0.0,0.0
fr_ketone,0.0,0.0
fr_ketone_Topliss,0.0,0.0
fr_lactam,0.0,0.0
fr_lactone,0.0,0.0
fr_methoxy,0.0,0.0
fr_morpholine,0.0,0.0
fr_nitrile,0.0,0.0
fr_nitro,0.0,0.0
fr_nitro_arom,0.0,0.0
fr_nitro_arom_nonortho,0.0,0.0
fr_nitroso,0.0,0.0
fr_oxazole,0.0,0.0
fr_oxime,0.0,0.0
fr_para_hydroxylation,0.0,0.0
fr_phenol,0.0,0.0
fr_phenol_noOrthoHbond,0.0,0.0
fr_phos_acid,0.0,0.0
fr_phos_ester,0.0,0.0
fr_piperdine,0.0,0.0
fr_piperzine,0.0,0.0
fr_priamide,0.0,0.0
fr_prisulfonamd,0.0,0.0
fr_pyridine,0.0,0.0
fr_quatN,0.0,0.0
fr_sulfide,0.0,0.0
fr_sulfonamd,0.0,0.0
fr_sulfone,0.0,0.0
fr_term_acetylene,0.0,0.0
fr_tetrazole,0.0,0.0
fr_thiazole,0.0,0.0
fr_thiocyan,0.0,0.0
fr_thiophene,0.0035218936,0.024964359
fr_unbrch_alkane,0.0,0.0
fr_urea,0.012729729,0.044856943
